Number,Condition
AUT0001156,short_descriptionSTARTSWITHMonitorIT^assignment_group=f4caebcb1b5fa4d0bdcb42a7b04bcbb9^short_descriptionLIKEsupervisord process is not running^EQ
AUT0001155,assignment_group=78baaf8b1b5fa4d0bdcb42a7b04bcbf1^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEA service set to autostart has crashed and is currently down SplunkForwarder^EQ
AUT0001153,short_descriptionSTARTSWITHMonitorIT:^assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionLIKEIndepth^EQ
AUT0001146,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=fc535a7cdb1f6410609eae3bd396193b^EQ
AUT0001143,business_service=b5539a7cdb1f6410609eae3bd3961983^short_descriptionLIKEDynatrace: Process unavailable^ORshort_descriptionLIKEDynatrace: Connectivity problem^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^ORdescriptionLIKEConnectivity problem^EQ
AUT0001137,short_descriptionLIKEMonitorIT^assignment_group=70caebcb1b5fa4d0bdcb42a7b04bcb3e^short_descriptionLIKE/home^EQ
AUT0001135,business_service=77431a7cdb1f6410609eae3bd3961954^short_descriptionLIKEDynatrace: Process unavailable^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^EQ
AUT0001129,assignment_group=fccaebcb1b5fa4d0bdcb42a7b04bcb6f^short_descriptionLIKEmanaged1_afxngsrm2^short_descriptionLIKEblt14799001^short_descriptionLIKEis nnot running^EQ
AUT0001126,descriptionLIKEJENKINS DOCKER CONTAINERS^ORdescriptionLIKEbld1510400­1 on host bld15104001 has been shut down^EQ
AUT0001122,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKESpringBoot^short_descriptionLIKEcalloutService^short_descriptionLIKEcom.bt.ngautofix.callout.NgAutofixCalloutServiceApplicati^EQ
AUT0001120,short_descriptionLIKEDynatrace: Process unavailable^cmdb_ci=f7431a7cdb1f6410609eae3bd3961955^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^EQ
AUT0001119,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Low disk space^descriptionLIKE/wls_domains_logs^short_descriptionLIKEblp14799005^ORshort_descriptionLIKEblp14799006^ORshort_descriptionLIKEblp14799007^ORshort_descriptionLIKEblp14799008^ORshort_descriptionLIKEblp14799041^ORshort_descriptionLIKEblp14799042^ORshort_descriptionLIKEblp14799055^ORshort_descriptionLIKEblp14799056^EQ
AUT0001116,short_descriptionLIKEDynatrace: Process unavailable^descriptionLIKECFTMAIN^ORdescriptionLIKECFTPRX^ORdescriptionLIKECFTTCPS^ORdescriptionLIKECFTLOG^ORdescriptionLIKECFTTCOM^ORdescriptionLIKECFTTPRO^business_service=fc535a7cdb1f6410609eae3bd396193b^NQbusiness_service=fc535a7cdb1f6410609eae3bd396193b^short_descriptionLIKEMonitorIT^short_descriptionLIKECFTMAIN process has failed^ORshort_descriptionLIKECFTPRX process has failed^ORshort_descriptionLIKECFTTCPS process has failed^ORshort_descriptionLIKECFTLOG process has failed^ORshort_descriptionLIKECFTPRO process has failed^ORshort_descriptionLIKECFTTCOM process has failed^EQ
AUT0001114,short_descriptionLIKEMonitorIT:^assignment_group=f8baaf8b1b5fa4d0bdcb42a7b04bcbee^short_descriptionLIKEDue to backend problems Infostore is not available:- Connection to Infostore Repository not available.^EQ
AUT0001105,assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEdisk^EQ
AUT0001090,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace^short_descriptionLIKEConnectivity problem^short_descriptionLIKEafngpsrm1_cluster^short_descriptionLIKEmanaged1_afngpsrm1^ORshort_descriptionLIKEmanaged2_afngpsrm1^ORshort_descriptionLIKEmanaged3_afngpsrm1^ORshort_descriptionLIKEmanaged4_afngpsrm1^ORshort_descriptionLIKEmanaged5_afngpsrm1^ORshort_descriptionLIKEmanaged6_afngpsrm1^ORshort_descriptionLIKEmanaged7_afngpsrm1^ORshort_descriptionLIKEmanaged8_afngpsrm1^EQ
AUT0001048,short_descriptionSTARTSWITHMonitorIT^assignment_group=71ba63cb1b5fa4d0bdcb42a7b04bcb42^short_descriptionLIKE-breached threshold^EQ
AUT0001047,short_descriptionSTARTSWITHMonitorIT^assignment_group=f8baaf8b1b5fa4d0bdcb42a7b04bcbee^short_descriptionLIKE/var File System is  >^EQ
AUT0001046,short_descriptionSTARTSWITHMonitorIT^assignment_group=f8baaf8b1b5fa4d0bdcb42a7b04bcbee^short_descriptionLIKEConnection to Infostore Repository not available.^EQ
AUT0001045,short_descriptionSTARTSWITHMonitorIT^assignment_group=f4caebcb1b5fa4d0bdcb42a7b04bcbb9^short_descriptionLIKEsupervisord process is not running supervisord^EQ
AUT0001044,short_descriptionSTARTSWITHMonitorIT^assignment_group=f4caebcb1b5fa4d0bdcb42a7b04bcbb9^short_descriptionLIKECheck for String:CRITICAL^EQ
AUT0001043,short_descriptionSTARTSWITHMonitorIT^assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionLIKECapacity Thresold exceeded in ETL^EQ
AUT0001042,short_descriptionSTARTSWITHMonitorIT^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^short_descriptionLIKECCE PUMA Job completed with data warnings^EQ
AUT0001039,assignment_group=c9baef8b1b5fa4d0bdcb42a7b04bcb9c^short_descriptionLIKEZeroOps: Enterprise Cancel Beyond PONR^descriptionLIKEOrderRef:^descriptionLIKEProblem: Enterprise Cancel Beyond PONR^EQ
AUT0001036,cmdb_ci=d77396bcdb1f6410609eae3bd3961979^short_descriptionLIKEDynatrace: Process unavailable^descriptionLIKECFTMAIN^ORdescriptionLIKECFTPRX^ORdescriptionLIKECFTTCPS^EQ
AUT0001035,assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^short_descriptionLIKEmount has high disk space^ORshort_descriptionLIKELow disk space ^EQ
AUT0001033,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKECapacity threshold breached in Datapower^assignment_group=84baeb8b1b5fa4d0bdcb42a7b04bcbcc^EQ
AUT0001029,descriptionLIKEWindows Service Monitoring UKGSSINTRA^EQ
AUT0001027,descriptionSTARTSWITHasdsadadsadsadsadsadsaddsadsadsada^EQ
AUT0001021,cmdb_ci=670198ab1b717450c926ddb4e34bcb6f^short_descriptionLIKEDynatrace: Process unavailable^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^EQ
AUT0001020,descriptionLIKEHTTP monitor global outage^descriptionLIKEmobius-sanity-test^descriptionLIKEDevOps CoE^EQ
AUT0001019,descriptionLIKE/software/stm^descriptionLIKEBT Corporate Prod^descriptionLIKELow disk space^assignment_group=49ca2fcb1b5fa4d0bdcb42a7b04bcb04^EQ
AUT0001016,cmdb_ci=fc535a7cdb1f6410609eae3bd396193b^short_descriptionLIKEDynatrace: Process unavailable^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^EQ
AUT0001011,assignment_group=c9baef8b1b5fa4d0bdcb42a7b04bcb9c^short_descriptionLIKEZeroOps: Enterprise Cancel Stuck Open Created^descriptionLIKEOrderRef:^descriptionLIKEProblem: Enterprise Cancel Stuck Open Created^EQ
